ID,Nom,LieuDit,Bassin,DateDebut,DateFin,Type,Altitude,Latitude,Longitude
1071001,CESSY,CERN,V036,2002-05-01 00:00:00,,1,507,46.31033333333333,6.080333333333333
1072001,JASSERON (CEYZERIAT_SAPC),AERODROME DE BOURG CEYZERIAT,U402,1994-08-01 00:00:00,,2,260,46.20433333333333,5.2876666666666665
1089001,CHATEAU-GAILLARD (AMBERIEU),AERODROME D'AMBERIEU,V290,1934-03-01 00:00:00,,0,250,45.9765,5.3293333333333335
1143002,DIVONNE-LES-BAINS (DIVONNE ZA),ZONE ARTISANALE,V036,2003-10-01 00:00:00,,2,467,46.3415,6.139666666666667
1174001,GIRON,GIRON DERRIERE,V101,1959-01-01 00:00:00,2020-12-31 00:00:00,4,1015,46.23,5.7725
1200002,LABALME (LA BALME SUR CERDON_SAPC),LE VILLAGE,V270,2004-12-01 00:00:00,,2,596,46.09,5.482
1204002,LE POIZAT-LALLEYRIAT (BURL),LE BURLANDIER,V101,1996-04-01 00:00:00,2005-10-24 00:00:00,3,530,46.16666666666666,5.706666666666667
1235001,MARLIEUX,LE CLOU,U440,1956-01-01 00:00:00,,2,280,46.0385,5.044333333333333
1235002,MARLIEUX,LES CERISIERS,U423,1999-08-01 00:00:00,2018-09-30 00:00:00,3,273,46.04666666666667,5.073333333333333
1247003,MIJOUX,Golf,V101,1929-01-01 00:00:00,,2,1002,46.37883333333333,6.019333333333333
1255002,MONTAGNIEU,BOURG,V162,1990-01-01 00:00:00,2020-12-31 00:00:00,4,336,45.79433333333333,5.469333333333333
1269001,NANTUA,,V251,1852-01-01 00:00:00,,2,483,46.14816666666667,5.607333333333333
1283001,OYONNAX,LES FOURCHES,V251,1989-01-01 00:00:00,2006-04-30 00:00:00,4,535,46.27166666666667,5.661666666666667
1301001,POLLIAT,LE GRAND VERNAY,U422,1992-08-01 00:00:00,1996-06-30 00:00:00,2,201,46.236666666666665,5.11
1367002,SAINT-JULIEN-SUR-REYSSOUZE (SAINT JULIEN SUR REYSSOUZE),BOURG,U405,1990-02-01 00:00:00,,2,189,46.40316666666666,5.109833333333333
1384003,SAINT-RAMBERT-EN-BUGEY (ST RAMBERT CG01),MOULIN-A-PAPIER,V292,2001-12-01 00:00:00,,3,296,45.95033333333333,5.461
1414001,VALROMEY-SUR-SERAN (SUTRIEU),COL DE LA LEBE,V141,2002-09-01 00:00:00,,1,878,45.91616666666667,5.624666666666666
1419001,THOIRY,LES HAUTS DE THOIRY,V041,1994-09-01 00:00:00,2002-08-31 00:00:00,3,605,46.24166666666667,5.968333333333334
2037002,LAON (AULNOIS-SS-LAON),FERME D'ALLEMAGNE,H016,1988-10-01 00:00:00,,1,78,49.595666666666666,3.610333333333333
2058001,BEAURIEUX,RUE DU GENERAL DE GAULLE,H145,1949-12-01 00:00:00,,2,56,49.39033333333333,3.732666666666667
2094001,BLESMES,LES AULNES BOUILLANTS,F620,1985-12-01 00:00:00,,1,222,49.00966666666667,3.462666666666667
2110002,BRAINE,FERME DU PARC,H158,1988-08-01 00:00:00,,1,61,49.351333333333336,3.527
2173002,CHAUNY,EC. AGRIC.,H021,1988-07-01 00:00:00,,1,83,49.633833333333335,3.197833333333333
2197001,CLAIRFONTAINE,COUR DE BRAY,H002,1987-09-01 00:00:00,2007-03-01 00:00:00,2,225,49.96666666666667,3.966666666666667
2320001,FONTAINE-LES-CLERCS (ST QUENTIN),AEROD. ST-QUENTIN,E607,1933-01-01 00:00:00,,0,98,49.818333333333335,3.206
2321002,FONTAINE-LES-VERVINS (FONTAINE-LES-VV),LYC. AGRIC. BERGERIE,H011,1987-07-01 00:00:00,,1,186,49.83733333333333,3.877833333333333
2346001,GIZY,54 ROUTE NATIONALE,H015,1945-01-01 00:00:00,,2,75,49.599833333333336,3.781
2381001,HIRSON,RUE DU 4 SEPT.,H002,1859-01-01 00:00:00,,2,165,49.922,4.077166666666667
2471001,MARTIGNY-COURPIERRE (MARTIGNY-COURPI),CHAVAILLES,H022,1955-12-01 00:00:00,,2,95,49.48566666666667,3.6931666666666665
2585001,PARCY-ET-TIGNY,TIGNY,F633,1954-08-01 00:00:00,,2,148,49.280166666666666,3.331
2594001,PASSY-EN-VALOIS (PASSY EN VALOIS),EPINE DU HAUT-LIMON,F632,1987-05-01 00:00:00,2015-03-01 00:00:00,2,141,49.16516666666666,3.199666666666667
2705001,NIZY-LE-COMTE,Les Anguiers,H135,1986-07-01 00:00:00,,1,90,49.566,4.0365
2738001,TERGNIER,FERME COMPAGNON,H020,1956-10-01 00:00:00,,2,59,49.663833333333336,3.320666666666667
3005001,ARCHIGNAT,LE LIAT,K523,1969-10-01 00:00:00,2013-12-31 00:00:00,3,370,46.35933333333333,2.433666666666667
3005002,ARCHIGNAT (ARCHIGNAT-SPC),SPC-223-LE SIGNAL-DE-L-AGE,NR,2017-12-01 00:00:00,,5,557,46.3325,2.3858333333333333
3013001,AVERMES (AVERMES RUE DES GATEAUX),RUE DES GATEAUX,K345,1897-01-01 00:00:00,1958-10-31 00:00:00,4,215,46.58833333333333,3.306666666666666
3022002,BELLENAVES (BELLENAVES-SPC),SPC-222-Bellenaves,K337,2004-08-01 00:00:00,,5,338,46.20016666666667,3.0853333333333333
3029001,BILLY,BOURG,K313,1949-01-01 00:00:00,2005-08-01 00:00:00,4,286,46.23333333333333,3.431666666666666
3036002,BOURBON-L'ARCHAMBAULT (BOURBON_SAPC),PARC BIGNON,K353,1993-05-01 00:00:00,,2,270,46.58,3.0495
3046001,BUXIERES-LES-MINES (BUXIERES),DORIERE,K532,1996-08-01 00:00:00,2018-06-30 00:00:00,4,375,46.4535,3.004833333333333
3059001,CHAREIL-CINTRAT (CHAREIL-CINTRAT_SAPC),Chalivet,K337,1950-05-01 00:00:00,,2,286,46.27583333333333,3.2256666666666667
3060001,CHARMEIL (VICHY-CHARMEIL),AERODROME DE VICHY-CHARMEIL,K311,1941-01-01 00:00:00,,0,249,46.16666666666666,3.3986666666666667
3061001,CHARMES (CHARMES_SAPC),LA MALMOUCHE,K314,1995-08-01 00:00:00,,2,330,46.0635,3.2336666666666667
3066003,CHATEL-MONTAGNE,LE BOURG,K151,1995-09-01 00:00:00,2012-06-17 00:00:00,4,515,46.1155,3.683
3074001,CHEVAGNES,LE CHASSIN,K181,1946-01-01 00:00:00,,2,228,46.63066666666667,3.549166666666667
3082003,COMMENTRY,RHONE-POULENC,K534,1992-04-01 00:00:00,2007-06-04 00:00:00,3,370,46.295,2.7466666666666666
3092002,CRESSANGES (CRESSANGES-SPC),SPC-223-CRESSANGES,NR,2017-12-01 00:00:00,,5,473,46.44683333333333,3.145
3100001,DIOU,ABBAYE DE SEPT-FONS,K156,1883-01-01 00:00:00,,2,220,46.54166666666666,3.7066666666666666
3106002,DURDAT-LAREQUILLE,REVOUX,K534,1962-05-01 00:00:00,,2,500,46.251666666666665,2.695666666666667
3108001,ECHASSIERES (ECHASSIERES_SAPC),LES KAOLINS-JAMES,K333,1966-11-01 00:00:00,,2,650,46.19116666666667,2.957666666666667
3114001,LA FERTE-HAUTERIVE (FERTE-HAUTERIVE),LES COMBYS,K340,1957-01-01 00:00:00,,2,226,46.37683333333333,3.331
3125001,LA GUILLERMIE,BOURG,K305,1935-01-01 00:00:00,,2,722,45.98466666666667,3.639833333333333
3127005,HERISSON (HERISSON-SPC),SPC-222-H̩risson,K537,2004-08-01 00:00:00,,5,203,46.507666666666665,2.7121666666666666
3130002,ISLE-ET-BARDAIS,,K542,1953-05-01 00:00:00,,2,262,46.66333333333333,2.730166666666667
3155003,LURCY-LEVIS (LURCY-LEVIS SA),CIRCUIT AUTOMOBILE,K362,1991-01-01 00:00:00,,1,225,46.71833333333333,2.9476666666666667
3159001,MALICORNE,PEPINIERE DELBARD,K534,1953-01-01 00:00:00,2012-06-01 00:00:00,4,400,46.30033333333333,2.7775
3162001,MARIGNY,LES GUILLEMINOTS,K350,1927-09-01 00:00:00,,2,249,46.58166666666666,3.1958333333333333
3165005,LE MAYET-DE-MONTAGNE (LE-MAYET-DE-MONTAGNE-SPC),SPC-222-Le Mayet-de-Montagne,K307,2004-08-01 00:00:00,,5,540,46.072833333333335,3.661666666666666
3180001,TOULON-SUR-ALLIER (MONTBEUGNY),AERODROME,K343,1984-01-01 00:00:00,,1,275,46.53633333333333,3.4231666666666665
3185006,MONTLUCON,AFPA,K522,1987-04-01 00:00:00,2013-01-01 00:00:00,3,207,46.365,2.5963333333333334
3185007,DOMERAT (MONTLUCON),AERODROME DOMERAT,K522,2002-04-01 00:00:00,,1,229,46.35516666666667,2.574666666666667
3185008,MONTLUCON (MONTLUCON-SPC),SPC-223-Montlṳon,K522,2004-08-01 00:00:00,2011-08-25 00:00:00,5,208,46.35166666666667,2.598333333333333
3186001,MONTMARAULT,BOURG,K335,1938-01-01 00:00:00,2021-07-12 00:00:00,3,466,46.31483333333333,2.9525
3186003,MONTMARAULT (MONTMARAULT-SPC),SPC-223-Montmarault,K335,2004-08-01 00:00:00,,5,475,46.315,2.953333333333333
3190002,MOULINS (MOULINS ECOLE NORMALE),ECOLE NORMALE,K345,1864-09-01 00:00:00,1940-05-31 00:00:00,4,222,46.56666666666667,3.333333333333333
3190003,MOULINS (MOULINS-SPC),SPC-223-Moulins,K345,2004-08-01 00:00:00,,5,214,46.56166666666667,3.3256666666666668
3200001,NEUVY,LYCEE AGRICOLE,K345,1984-01-01 00:00:00,2010-02-09 00:00:00,3,250,46.54966666666667,3.2855
3204001,PARAY-SOUS-BRIAILLES,LES PACAUDS,K316,1937-05-01 00:00:00,,2,250,46.2835,3.337833333333333
3226001,SAINT-DIDIER-EN-DONJON (SAINT DIDIER_SAPC),LES QUATRES-VENTS,K141,1997-03-01 00:00:00,,2,293,46.36533333333333,3.8501666666666665
3236001,SAINT-GERMAIN-DES-FOSSES,9 RUE MOZART,K312,1909-01-01 00:00:00,2012-09-01 00:00:00,4,286,46.1905,3.435833333333333
3240001,SAINT-LEON (ST-LEON),BOURG,K155,1962-10-01 00:00:00,,2,378,46.4025,3.6858333333333335
3248001,SAINT-NICOLAS-DES-BIEFS (ST-NICOLAS),LA VERRERIE,K150,1991-03-01 00:00:00,,1,1022,46.0515,3.8051666666666666
3253001,SAINT-POURCAIN-SUR-BESBRE (ST-POURCAIN-BES),AZELLE,K156,1994-07-01 00:00:00,2013-07-01 00:00:00,3,268,46.49166666666667,3.615833333333333
3253002,SAINT-POURCAIN-SUR-BESBRE (SAINT-POURCAIN-SUR-BESBRE-SPC),SPC-223-St-Pourcain-sur-Besbre,K156,2004-08-01 00:00:00,,5,249,46.47666666666667,3.653333333333333
3257002,SAINT-PRIX (SAINT-PRIX-SPC),SPC-223-SAINT-PRIX,NR,2017-12-01 00:00:00,,5,292,46.22916666666666,3.647166666666666
3279001,TEILLET-ARGENTY (TEILLET-ARGENTY-SPC),SPC-222-Teillet-Argenty(Rochebut),K520,2004-08-01 00:00:00,2011-08-25 00:00:00,5,365,46.24166666666667,2.535833333333333
3285001,TORTEZAIS (TORTEZAIS_SAPC),BOURG,K531,1991-04-01 00:00:00,,2,256,46.45133333333333,2.857
3310001,VICHY (VICHY-VILLE),ETABLISSEMENT THERMAL,K304,1858-07-01 00:00:00,,2,255,46.117666666666665,3.439
